Player (18),Pos.,Team,Injury,Games,Cash EarnedWhile Injured
Marcus Morris Sr.,SF,LAC,Personal,2,3738022
James Harden,SG,PHI,Personal,3,1433796
Ricky Rubio,PG,CLE,Personal,20,1412960
Daniel Theis,C,IND,Personal,1,1046940
Otto Porter Jr.,SF,TOR,Personal,1,615519
Derrick White,PG,BOS,Personal,4,607140
Nicolas Batum,SF,PHI,Personal,5,605736
Draymond Green,PF,GSW,Personal,1,384852
DeMar DeRozan,SF,CHI,Personal,1,328736
Evan Fournier,SG,NYK,Personal,1,325122
Jimmy Butler,SF,MIA,Personal,1,259678
Luka Doncic,PG,DAL,Personal,1,230254
Trae Young,PG,ATL,Personal,1,230254
Zion Williamson,PF,NOP,Personal,1,195432
Nassir Little,SF,PHX,Personal,1,179600
Kris Dunn,PG,UTA,Personal,3,74330
Dante Exum,PG,DAL,Personal,2,51723
Kevin Love,C,MIA,Personal,1,22044
,,,,50,11742138
